ORIGEM,DESTINO,HORA,QUANTIDADE
Parnamirim,Torre,6,0
Parnamirim,Torre,7,11
Parnamirim,Torre,8,7
Parnamirim,Torre,9,4
Parnamirim,Torre,10,1
Parnamirim,Torre,11,1
Parnamirim,Torre,12,1
Parnamirim,Torre,13,1
Parnamirim,Torre,14,5
Parnamirim,Torre,15,2
Parnamirim,Torre,16,2
Parnamirim,Torre,17,5
Parnamirim,Torre,18,6
Parnamirim,Torre,19,6
Parnamirim,Centro,6,52
Parnamirim,Centro,7,67
Parnamirim,Centro,8,28
Parnamirim,Centro,9,23
Parnamirim,Centro,10,11
Parnamirim,Centro,11,19
Parnamirim,Centro,12,10
Parnamirim,Centro,13,7
Parnamirim,Centro,14,12
Parnamirim,Centro,15,13
Parnamirim,Centro,16,12
Parnamirim,Centro,17,20
Parnamirim,Centro,18,28
Parnamirim,Centro,19,5
Parnamirim,Espinheiro,6,1
Parnamirim,Espinheiro,7,7
Parnamirim,Espinheiro,8,9
Parnamirim,Espinheiro,9,3
Parnamirim,Espinheiro,10,3
Parnamirim,Espinheiro,11,6
Parnamirim,Espinheiro,12,0
Parnamirim,Espinheiro,13,6
Parnamirim,Espinheiro,14,1
Parnamirim,Espinheiro,15,2
Parnamirim,Espinheiro,16,2
Parnamirim,Espinheiro,17,6
Parnamirim,Espinheiro,18,3
Parnamirim,Espinheiro,19,1
Espinheiro,Parnamirim,6,0
Espinheiro,Parnamirim,7,3
Espinheiro,Parnamirim,8,0
Espinheiro,Parnamirim,9,0
Espinheiro,Parnamirim,10,0
Espinheiro,Parnamirim,11,0
Espinheiro,Parnamirim,12,0
Espinheiro,Parnamirim,13,1
Espinheiro,Parnamirim,14,0
Espinheiro,Parnamirim,15,0
Espinheiro,Parnamirim,16,0
Espinheiro,Parnamirim,17,0
Espinheiro,Parnamirim,18,0
Espinheiro,Parnamirim,19,0
Espinheiro,Torre,6,5
Espinheiro,Torre,7,5
Espinheiro,Torre,8,5
Espinheiro,Torre,9,4
Espinheiro,Torre,10,5
Espinheiro,Torre,11,6
Espinheiro,Torre,12,8
Espinheiro,Torre,13,4
Espinheiro,Torre,14,6
Espinheiro,Torre,15,8
Espinheiro,Torre,16,7
Espinheiro,Torre,17,21
Espinheiro,Torre,18,13
Espinheiro,Torre,19,4
Espinheiro,Centro,6,0
Espinheiro,Centro,7,1
Espinheiro,Centro,8,1
Espinheiro,Centro,9,1
Espinheiro,Centro,10,1
Espinheiro,Centro,11,1
Espinheiro,Centro,12,2
Espinheiro,Centro,13,2
Espinheiro,Centro,14,0
Espinheiro,Centro,15,3
Espinheiro,Centro,16,2
Espinheiro,Centro,17,1
Espinheiro,Centro,18,3
Espinheiro,Centro,19,0
Centro,Espinheiro,6,0
Centro,Espinheiro,7,0
Centro,Espinheiro,8,3
Centro,Espinheiro,9,2
Centro,Espinheiro,10,3
Centro,Espinheiro,11,1
Centro,Espinheiro,12,2
Centro,Espinheiro,13,6
Centro,Espinheiro,14,3
Centro,Espinheiro,15,3
Centro,Espinheiro,16,4
Centro,Espinheiro,17,6
Centro,Espinheiro,18,5
Centro,Espinheiro,19,2
Centro,Parnamirim,6,2
Centro,Parnamirim,7,1
Centro,Parnamirim,8,2
Centro,Parnamirim,9,1
Centro,Parnamirim,10,1
Centro,Parnamirim,11,8
Centro,Parnamirim,12,3
Centro,Parnamirim,13,2
Centro,Parnamirim,14,1
Centro,Parnamirim,15,5
Centro,Parnamirim,16,6
Centro,Parnamirim,17,8
Centro,Parnamirim,18,8
Centro,Parnamirim,19,4
Centro,Torre,6,1
Centro,Torre,7,0
Centro,Torre,8,5
Centro,Torre,9,4
Centro,Torre,10,1
Centro,Torre,11,7
Centro,Torre,12,0
Centro,Torre,13,2
Centro,Torre,14,3
Centro,Torre,15,1
Centro,Torre,16,4
Centro,Torre,17,8
Centro,Torre,18,10
Centro,Torre,19,4
Torre,Centro,6,32
Torre,Centro,7,24
Torre,Centro,8,14
Torre,Centro,9,10
Torre,Centro,10,15
Torre,Centro,11,11
Torre,Centro,12,8
Torre,Centro,13,3
Torre,Centro,14,4
Torre,Centro,15,9
Torre,Centro,16,5
Torre,Centro,17,8
Torre,Centro,18,10
Torre,Centro,19,5
Torre,Espinheiro,6,47
Torre,Espinheiro,7,95
Torre,Espinheiro,8,49
Torre,Espinheiro,9,35
Torre,Espinheiro,10,34
Torre,Espinheiro,11,29
Torre,Espinheiro,12,20
Torre,Espinheiro,13,22
Torre,Espinheiro,14,28
Torre,Espinheiro,15,27
Torre,Espinheiro,16,40
Torre,Espinheiro,17,45
Torre,Espinheiro,18,57
Torre,Espinheiro,19,25
Torre,Parnamirim,6,3
Torre,Parnamirim,7,8
Torre,Parnamirim,8,1
Torre,Parnamirim,9,4
Torre,Parnamirim,10,2
Torre,Parnamirim,11,1
Torre,Parnamirim,12,1
Torre,Parnamirim,13,1
Torre,Parnamirim,14,1
Torre,Parnamirim,15,2
Torre,Parnamirim,16,10
Torre,Parnamirim,17,5
Torre,Parnamirim,18,3
Torre,Parnamirim,19,4
